cell_id,family,task,model,seed,method,score_origin,alpha,historical_q,current_q,q_change,delta_risk,delta_mean_atom_fraction,delta_precision,delta_iou
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,gradinput,P01_checkpoint_rerun,0.2,93,93,0,8.604228440844963e-16,1.1546319456101628e-14,2.220446049250313e-16,3.8857805861880484e-16
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_frozen_cache,0.05,47,47,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_frozen_cache,0.1,37,37,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,atom_occlusion,P20_frozen_cache,0.2,27,27,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_frozen_cache,0.05,76,76,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_frozen_cache,0.1,63,63,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed2026,bxaic,indole,gin,2026,saliency,P20_frozen_cache,0.2,44,44,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_checkpoint_rerun,0.05,79,79,0,7.632783294297951e-16,-5.6621374255882976e-15,1.7208456881689926e-15,1.4988010832439613e-15
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_checkpoint_rerun,0.1,67,67,0,1.7486012637846217e-15,-4.440892098500626e-16,2.275957200481571e-15,1.5543122344752194e-15
bxaic__indole__gin__seed42,bxaic,indole,gin,42,ig,P01_checkpoint_rerun,0.2,47,47,0,-1.2212453270876722e-15,3.6637359812630166e-15,2.220446049250313e-15,1.054711873393899e-15
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_checkpoint_rerun,0.05,96,96,0,8.187894806610529e-16,6.994405055138486e-15,9.43689570931383e-16,1.1657341758564144e-15
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_checkpoint_rerun,0.1,93,93,0,1.5404344466674049e-15,1.1546319456101628e-14,1.2212453270876722e-15,1.054711873393899e-15
bxaic__indole__gin__seed42,bxaic,indole,gin,42,gradinput,P01_checkpoint_rerun,0.2,85,85,0,-1.304512053934559e-15,-1.2212453270876722e-15,-1.6653345369377348e-16,-1.1102230246251563e-16
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_frozen_cache,0.05,44,44,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_frozen_cache,0.1,35,35,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,atom_occlusion,P20_frozen_cache,0.2,27,27,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_frozen_cache,0.05,66,66,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_frozen_cache,0.1,56,56,0,0.0,0.0,0.0,0.0
bxaic__indole__gin__seed42,bxaic,indole,gin,42,saliency,P20_frozen_cache,0.2,43,43,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_checkpoint_rerun,0.05,4,4,0,-1.3877787807814457e-17,1.457167719820518e-16,-1.1102230246251563e-16,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_checkpoint_rerun,0.1,2,2,0,-1.3877787807814457e-17,7.63278329429795e-17,2.220446049250313e-16,2.220446049250313e-16
bxaic__P__gcn__seed123,bxaic,P,gcn,123,ig,P01_checkpoint_rerun,0.2,1,1,0,-2.775557561562892e-17,6.938893903907227e-17,0.0,-1.1102230246251563e-16
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_checkpoint_rerun,0.05,4,4,0,-1.3877787807814457e-17,1.457167719820518e-16,-1.1102230246251563e-16,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_checkpoint_rerun,0.1,2,2,0,-1.3877787807814457e-17,7.63278329429795e-17,2.220446049250313e-16,2.220446049250313e-16
bxaic__P__gcn__seed123,bxaic,P,gcn,123,gradinput,P01_checkpoint_rerun,0.2,1,1,0,-2.775557561562892e-17,6.938893903907227e-17,0.0,-1.1102230246251563e-16
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_frozen_cache,0.05,4,4,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_frozen_cache,0.1,2,2,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,atom_occlusion,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_frozen_cache,0.05,6,6,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_frozen_cache,0.1,4,4,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed123,bxaic,P,gcn,123,saliency,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_checkpoint_rerun,0.05,4,4,0,-1.3877787807814457e-17,1.457167719820518e-16,-1.1102230246251563e-16,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_checkpoint_rerun,0.1,2,2,0,-1.3877787807814457e-17,7.63278329429795e-17,2.220446049250313e-16,2.220446049250313e-16
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,ig,P01_checkpoint_rerun,0.2,1,1,0,-2.775557561562892e-17,6.938893903907227e-17,0.0,-1.1102230246251563e-16
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_checkpoint_rerun,0.05,4,4,0,-1.3877787807814457e-17,1.457167719820518e-16,-1.1102230246251563e-16,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_checkpoint_rerun,0.1,2,2,0,-1.3877787807814457e-17,7.63278329429795e-17,2.220446049250313e-16,2.220446049250313e-16
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,gradinput,P01_checkpoint_rerun,0.2,1,1,0,-2.775557561562892e-17,6.938893903907227e-17,0.0,-1.1102230246251563e-16
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_frozen_cache,0.05,4,4,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_frozen_cache,0.1,2,2,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,atom_occlusion,P20_frozen_cache,0.2,1,1,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_frozen_cache,0.05,9,9,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_frozen_cache,0.1,7,7,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed2026,bxaic,P,gcn,2026,saliency,P20_frozen_cache,0.2,4,4,0,0.0,0.0,0.0,0.0
bxaic__P__gcn__seed42,bxaic,P,gcn,42,ig,P01_checkpoint_rerun,0.05,4,4,0,-1.3877787807814457e-17,1.457167719820518e-16,-1.1102230246251563e-16,0.0
