method,score_origin,grid,split,q,nominal_fraction,risk,mean_atom_fraction,precision,iou
atom_occlusion,P20_frozen_cache,exact_integer,calibration,54,0.54,0.1436880912846956,0.5579362243100375,0.3881349252701521,0.34612553943554897
atom_occlusion,P20_frozen_cache,exact_integer,calibration,55,0.55,0.13905992169699946,0.5683471822532905,0.38449727879720086,0.34431599571119115
atom_occlusion,P20_frozen_cache,exact_integer,calibration,56,0.56,0.13521230671608997,0.5764939573100245,0.3823458307129337,0.34368860797603085
atom_occlusion,P20_frozen_cache,exact_integer,calibration,57,0.57,0.12988104347501706,0.5883724928041647,0.3779893564168982,0.3413283074952942
atom_occlusion,P20_frozen_cache,exact_integer,calibration,58,0.58,0.12526531673182414,0.5990685495719237,0.37470555342787654,0.3397666662305381
atom_occlusion,P20_frozen_cache,exact_integer,calibration,59,0.59,0.12146360244803713,0.6087097599356763,0.37170941041094285,0.33817092839871105
atom_occlusion,P20_frozen_cache,exact_integer,calibration,60,0.6,0.11900584887225499,0.6146917253595876,0.3700184440989246,0.3373039434489785
atom_occlusion,P20_frozen_cache,exact_integer,calibration,61,0.61,0.11259964666568602,0.6305070426321562,0.3648685260923761,0.3343820428747282
atom_occlusion,P20_frozen_cache,exact_integer,calibration,62,0.62,0.10908256119384997,0.6397043046323294,0.36217944041980316,0.33299608557914573
atom_occlusion,P20_frozen_cache,exact_integer,calibration,63,0.63,0.10566852171960668,0.6488632183581075,0.35956447065481817,0.3315977137034638
atom_occlusion,P20_frozen_cache,exact_integer,calibration,64,0.64,0.10203781642382637,0.6576455176133603,0.35727627878039947,0.33046961437858213
atom_occlusion,P20_frozen_cache,exact_integer,calibration,65,0.65,0.09854476916365111,0.6677783128848084,0.3543023251312077,0.32864108812744913
atom_occlusion,P20_frozen_cache,exact_integer,calibration,66,0.66,0.09443848669624455,0.6785926145185649,0.3513467675378775,0.32699350762573476
atom_occlusion,P20_frozen_cache,exact_integer,calibration,67,0.67,0.08902872473777863,0.692448462330669,0.34744834144201536,0.32475958899254154
atom_occlusion,P20_frozen_cache,exact_integer,calibration,68,0.68,0.08759061543876703,0.6965606578788306,0.34679347219270984,0.3245450882976546
atom_occlusion,P20_frozen_cache,exact_integer,calibration,69,0.69,0.08250150620570917,0.7097505533326119,0.34297992884390993,0.32223050104603
atom_occlusion,P20_frozen_cache,exact_integer,calibration,70,0.7,0.07975422452486364,0.7174043468235767,0.3410377336078604,0.32109208428114555
atom_occlusion,P20_frozen_cache,exact_integer,calibration,71,0.71,0.0752359874303255,0.7297189832366843,0.3379376727971999,0.319268286233789
atom_occlusion,P20_frozen_cache,exact_integer,calibration,72,0.72,0.07250600846818492,0.737769282351439,0.3361329409094181,0.318240444944239
atom_occlusion,P20_frozen_cache,exact_integer,calibration,73,0.73,0.06840750457456023,0.7501371935600899,0.3328358077906428,0.31606880050381286
atom_occlusion,P20_frozen_cache,exact_integer,calibration,74,0.74,0.06489091132706648,0.760359891288324,0.3302653398537265,0.3144428870140076
atom_occlusion,P20_frozen_cache,exact_integer,calibration,75,0.75,0.06376768594224069,0.7638206658165753,0.3297520133733942,0.3142589771807237
